"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"U2";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2112";;;
2;"R3,R2,R1";"R_0603_1608Metric";3;"4.7k";;;
3;"J3";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
4;"C2,C3";"C_0805_2012Metric";2;"4.7u";;;
5;"U1";"SOT-23-6";1;"USBLC6-2";;;
6;"J2";"CONN-10118194-0001LF-FCI";1;"USB_B_Micro";;;
7;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Cfg";;;
8;"F1";"Fuse_0603_1608Metric";1;"Fuse";;;
9;"C4";"C_0603_1608Metric";1;"1u";;;
10;"C1";"C_0603_1608Metric";1;"0.1u";;;
